chaoshanzha 炒山楂
chaosuanzaoren 炒酸枣仁
chaotianguan 朝天罐
chaotinglizi 炒葶苈子
chaowangbuliuxing 炒王不留行
chaoweizi 炒桅子
chaozhizi 炒栀子
chaozisuzi 炒紫苏子
chaye 茶叶
chayin 查因
chayou 茶油
chenchi 沉迟
chenfei 尘肺
chenfoshou 陈佛手
chengfu 承扶
chenggoufeng 称钩风
chengguang 承光
chengjiang 承浆
chengjin 承筋
chengling 承灵
chengliu 柽柳
chengman 承满
chengqi 承泣
chengshan 承山
chenmai 沉脉
chenpi 陈皮
chensha 辰砂
chenxian 沉弦
chenxiang 沉香
chenxiangqu 沉香曲
chenxiangru 陈香薷
chenyu 沉郁
cheqiancao 车前草
cheqianzi 车前子
chibaishao 赤白芍
chifuling 赤茯苓
chiheshouwu 赤何首乌
chijian 赤箭
chilei 眵泪
chimai 瘈脉 迟脉
chimaichuanjing 赤脉传睛
chimoxiachui 赤膜下垂
chinv 齿衄
chishao 赤芍
chishizhi 赤石脂
chishizhiyuyuliangtang 赤石脂禹余粮汤
chixiaodou 赤小豆
chiyao 赤药
chiyoudanbing 赤游丹病
chize 尺泽
chizong 瘈疭
chongbaila 虫白蜡
chonglou 重楼
chongmen 冲门
chongrenbugu 冲任不固
chongrenbuguzheng 冲任不固证
chongrenhanzheng 冲任寒证
chongrenrezheng 冲任热证
chongrenxushuaizheng 冲任虚衰证
chongrenyuzuningjiezheng 冲任瘀阻凝结证
chongrenyuzuzheng 冲任瘀阻证
chongtuzhimu 崇土制木
chongweizi 茺蔚子
chongyang 冲阳
chouchu 抽搐
choulingdancao 臭灵丹草
chuanbeimu 川贝母
chuangyang 疮疡
chuangyong 疮痈
chuanlianzi 川楝子
chuanmutong 川木通
chuanmuxiang 川木香
chuanniuxi 川牛膝
chuanposhiqiegen 穿破石茄根
chuanranbingshi 传染病史
chuanshanjia 穿山甲
chuanshanlong 穿山龙
chuanwu 川乌
chuanxinlian 穿心莲
chuanxiong 川芎
chuanxiongchatiaosan 川芎茶调散
chuipencao 垂盆草
chunpi 椿皮
chunwen 春温
chunzhou 唇周
chushizi 楮实子
chuxiezhongfeng 出血中风
cijili 刺蒺藜
ciliao 次髎
cishi 磁石
citong 刺痛
ciweipi 刺猬皮
ciwujia 刺五加
ciwujiagen 刺五加根
ciwujiapi 刺五加皮
ciwujiaye 刺五加叶
cizhuwan 磁朱丸
congbai 葱白
congbaiqiweiyin 葱白七味饮
congchitang 葱豉汤
cuanzhu 攒竹
cufutongbing 卒腹痛病
cumai 促脉
cusibing 卒死病
cuxintongbing 卒心痛病
cuzhong 卒中
daanwan 大安丸
dabao 大包
dabianke 大便可
dabiantangxie 大便溏泄
dabiantiao 大便调
dabuyinwan 大补阴丸
dachaihutang 大柴胡汤
dachangjierezheng 大肠结热证
dachangjinkuizheng 大肠津亏证
dachangshirezheng 大肠湿热证
dachangxuhanzheng 大肠虚寒证
dachangyu 大肠俞
dachengqitang 大承气汤
dadingfengzhu 大定风珠
dadouhuangjuan 大豆黄卷
dadu 大都
dadun 大敦
dafangfengtang 大防风汤
dafeiyangcao 大飞扬草
dafengzi 大风子
dafupi 大腹皮
dagukong 大骨空
dahe 大赫
daheng 大横
dahongpao 大红袍
dahuang 大黄
dahuangchongwan 大黄虫丸
dahuangfuzitang 大黄附子汤
dahuanggancaotang 大黄甘草汤
dahuanghuanglianxiexintang 大黄黄连泻心汤
dahuangmudantang 大黄牡丹汤
dahuangshuchongwan 大黄庶虫丸
dahuangzhechongwan 大黄蟅虫丸
dahuixiang 大茴香
dahuoluodan 大活络丹
daidaihua 代代花
daihuangcuochongwan 大黄错虫丸
daimai 带脉 代脉
daimao 玳瑁
daizheshi 代赭石
daji 大蓟
dajianzhongtang 大建中汤
dajiaxie 大瘕泄
